Geometria,Distance(cm),Material,Campo,Historias,Energy(eV),Seed1,Seed2,Filtro,ROI1,Erro ROI1,ROI2,Erro ROI2,ROI3,Erro ROI3,ROI4,Erro ROI4,ROI5,Erro ROI5,ROI6,Erro ROI6,ROI7,Erro ROI7,ROI8,Erro ROI8,ROI9,Erro ROI9,Simuladas
20cm_C.geo,75,CR.mat,30x30,2000000000.0,60,816185542,1272749936,10Cu,6.39776,0.0116217,6.77569,0.0119871,7.44295,0.012593,9.20858,0.0139856,9.4753,0.014177,9.38722,0.01411335,9.21159,0.01397815,9.52288,0.01420155,9.26064,0.0140164,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,70,609165413,1701282936,10Cu,8.64788,0.01409035,9.17008,0.0145461,9.87128,0.01511715,11.8617,0.0165166,12.2269,0.01674915,12.0711,0.0166516,11.8163,0.0164747,12.192,0.0167125,11.8384,0.016485,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,80,1796687004,1285599000,10Cu,10.4914,0.01603715,11.1168,0.01654675,11.7698,0.0170322,13.9714,0.018495,14.4568,0.018792,14.263,0.01867215,13.8612,0.01840655,14.3363,0.0186963,13.8657,0.01840665,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,90,237829364,855459867,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,100,816185542,1704495202,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,110,1507508915,2123391404,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,120,485928473,2142665000,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,130,1425350955,1710919734,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,140,1735068534,1275962202,10Cu,,,,,,,,,,,,,,,,,,,
20cm_C.geo,75,CR.mat,30x30,2000000000.0,150,2013976878,853853734,10Cu,,,,,,,,,,,,,,,,,,,
